datetime,open,high,low,close,volume,hold
2026-01-19 14:15:00,14615.0,14615.0,14570.0,14590.0,8485,804775
2026-01-19 14:45:00,14585.0,14590.0,14570.0,14575.0,6150,803996
2026-01-19 15:00:00,14575.0,14580.0,14545.0,14545.0,2068,801019
2026-01-19 21:30:00,14545.0,14550.0,14465.0,14465.0,65000,796286
2026-01-19 22:00:00,14465.0,14500.0,14460.0,14475.0,24484,794905
2026-01-19 22:30:00,14470.0,14475.0,14395.0,14460.0,74593,785402
2026-01-19 23:00:00,14460.0,14470.0,14440.0,14465.0,12067,784295
2026-01-20 09:30:00,14460.0,14520.0,14445.0,14495.0,32742,785378
2026-01-20 10:00:00,14495.0,14515.0,14470.0,14475.0,10733,785152
2026-01-20 10:45:00,14435.0,14475.0,14435.0,14455.0,16299,784794
2026-01-20 11:15:00,14455.0,14525.0,14445.0,14520.0,16733,786279
2026-01-20 13:45:00,14520.0,14630.0,14515.0,14595.0,67043,788709
2026-01-20 14:15:00,14590.0,14640.0,14570.0,14610.0,31845,790156
2026-01-20 14:45:00,14615.0,14615.0,14550.0,14565.0,22240,789605
2026-01-20 15:00:00,14565.0,14570.0,14525.0,14525.0,1191,788092
2026-01-20 21:30:00,14530.0,14660.0,14510.0,14660.0,79639,803320
2026-01-20 22:00:00,14655.0,14700.0,14620.0,14665.0,55408,804717
2026-01-20 22:30:00,14665.0,14665.0,14630.0,14635.0,18993,804733
2026-01-20 23:00:00,14635.0,14645.0,14605.0,14620.0,20614,801465
2026-01-21 09:30:00,14600.0,14600.0,14540.0,14560.0,254,800348
2026-01-21 10:00:00,14560.0,14575.0,14540.0,14555.0,1267,799794
2026-01-21 10:45:00,14550.0,14550.0,14480.0,14520.0,4954,795780
2026-01-21 11:15:00,14520.0,14530.0,14475.0,14480.0,393,793492
2026-01-21 13:45:00,14480.0,14565.0,14465.0,14560.0,93,791467
2026-01-21 14:15:00,14575.0,14575.0,14540.0,14560.0,12778,790888
2026-01-21 14:45:00,14560.0,14590.0,14555.0,14560.0,523,789795
2026-01-21 15:00:00,14550.0,14560.0,14535.0,14535.0,1844,787191
2026-01-21 21:30:00,14550.0,14560.0,14490.0,14550.0,50520,786553
2026-01-21 22:00:00,14555.0,14585.0,14540.0,14550.0,19264,787119
2026-01-21 22:30:00,14550.0,14570.0,14545.0,14555.0,6812,787205
2026-01-21 23:00:00,14550.0,14570.0,14535.0,14550.0,15006,786092
2026-01-22 09:30:00,14545.0,14580.0,14530.0,14580.0,19075,786308
2026-01-22 10:00:00,14580.0,14600.0,14565.0,14595.0,18608,787783
2026-01-22 10:45:00,14595.0,14615.0,14580.0,14585.0,2,789322
2026-01-22 11:15:00,14585.0,14615.0,14580.0,14615.0,1668,791148
2026-01-22 13:45:00,14615.0,14615.0,14590.0,14615.0,1500,791196
2026-01-22 14:15:00,14615.0,14630.0,14605.0,14625.0,3524,792403
2026-01-22 14:45:00,14625.0,14680.0,14605.0,14655.0,6285,794426
2026-01-22 15:00:00,14660.0,14730.0,14655.0,14730.0,19318,799956
2026-01-22 21:30:00,14730.0,14765.0,14685.0,14735.0,67021,800381
2026-01-22 22:00:00,14735.0,14770.0,14710.0,14750.0,34620,802425
2026-01-22 22:30:00,14750.0,14790.0,14735.0,14760.0,32013,808892
2026-01-22 23:00:00,14765.0,14780.0,14750.0,14760.0,16882,807771
2026-01-23 09:30:00,14720.0,14765.0,14710.0,14710.0,32983,808217
2026-01-23 10:00:00,14710.0,14745.0,14675.0,14725.0,3117,806582
2026-01-23 10:45:00,14720.0,14730.0,14675.0,14685.0,19230,807311
2026-01-23 11:15:00,14680.0,14715.0,14670.0,14685.0,6932,807128
2026-01-23 13:45:00,14680.0,14720.0,14680.0,14700.0,4088,807811
2026-01-23 14:15:00,14695.0,14725.0,14685.0,14705.0,172,808283
2026-01-23 14:45:00,14705.0,14715.0,14685.0,14695.0,751,806468
2026-01-23 15:00:00,14700.0,14710.0,14685.0,14695.0,15,803335
2026-01-23 21:30:00,14640.0,14660.0,14540.0,14625.0,21,804654
2026-01-23 22:00:00,14620.0,14630.0,14570.0,14575.0,75,805616
2026-01-23 22:30:00,14575.0,14650.0,14575.0,14640.0,144,805612
2026-01-23 23:00:00,14645.0,14645.0,14585.0,14590.0,380,802317
2026-01-26 09:30:00,14595.0,14675.0,14580.0,14650.0,32,803056
2026-01-26 10:00:00,14655.0,14710.0,14640.0,14670.0,649,806659
2026-01-26 10:45:00,14675.0,14695.0,14675.0,14685.0,614,807485
2026-01-26 11:15:00,14685.0,14690.0,14640.0,14670.0,656,807112
2026-01-26 13:45:00,14665.0,14675.0,14560.0,14565.0,82,804287
2026-01-26 14:15:00,14585.0,14600.0,14555.0,14595.0,2858,802949
2026-01-26 14:45:00,14620.0,14680.0,14610.0,14630.0,1302,798862
2026-01-26 15:00:00,14630.0,14655.0,14630.0,14650.0,134,795878
2026-01-26 21:30:00,14625.0,14630.0,14575.0,14575.0,51911,799020
2026-01-26 22:00:00,14575.0,14585.0,14565.0,14580.0,24039,801045
2026-01-26 22:30:00,14575.0,14610.0,14565.0,14585.0,10133,801140
2026-01-26 23:00:00,14585.0,14620.0,14575.0,14585.0,14812,799960
2026-01-27 09:30:00,14590.0,14630.0,14580.0,14600.0,29577,799790
2026-01-27 10:00:00,14600.0,14605.0,14565.0,14565.0,15679,799328
2026-01-27 10:45:00,14560.0,14605.0,14560.0,14605.0,10357,796419
2026-01-27 11:15:00,14600.0,14610.0,14565.0,14565.0,16829,796954
2026-01-27 13:45:00,14565.0,14600.0,14545.0,14575.0,30549,794353
2026-01-27 14:15:00,14575.0,14590.0,14565.0,14565.0,9742,793674
2026-01-27 14:45:00,14560.0,14575.0,14545.0,14560.0,14809,790969
2026-01-27 15:00:00,14560.0,14575.0,14560.0,14565.0,2607,786653
2026-01-27 21:30:00,14570.0,14620.0,14540.0,14600.0,62246,787237
2026-01-27 22:00:00,14595.0,14665.0,14595.0,14645.0,44806,789974
2026-01-27 22:30:00,14645.0,14690.0,14635.0,14665.0,47301,792060
2026-01-27 23:00:00,14665.0,14680.0,14635.0,14655.0,22039,791900
2026-01-28 09:30:00,14660.0,14745.0,14655.0,14745.0,58493,798363
2026-01-28 10:00:00,14740.0,14750.0,14670.0,14695.0,16414,795274
2026-01-28 10:45:00,14730.0,14740.0,14690.0,14730.0,21677,797219
2026-01-28 11:15:00,14735.0,14750.0,14715.0,14735.0,15921,799066
2026-01-28 13:45:00,14745.0,14825.0,14730.0,14825.0,58875,802804
2026-01-28 14:15:00,14825.0,14920.0,14825.0,14910.0,87701,814977
2026-01-28 14:45:00,14910.0,14970.0,14865.0,14955.0,71681,825028
2026-01-28 15:00:00,14960.0,14960.0,14940.0,14940.0,4599,822629
2026-01-28 21:30:00,14935.0,15005.0,14870.0,14870.0,113479,813077
2026-01-28 22:00:00,14875.0,14910.0,14865.0,14870.0,27465,810832
2026-01-28 22:30:00,14870.0,14885.0,14845.0,14860.0,27210,811336
2026-01-28 23:00:00,14860.0,14880.0,14845.0,14875.0,14895,810539
2026-01-29 09:30:00,14845.0,14890.0,14830.0,14850.0,36135,806820
2026-01-29 10:00:00,14850.0,14900.0,14840.0,14885.0,2992,805642
2026-01-29 10:45:00,14875.0,14915.0,14860.0,14895.0,22040,805653
2026-01-29 11:15:00,14900.0,14925.0,14895.0,14910.0,17495,807387
2026-01-29 13:45:00,14915.0,14920.0,14870.0,14890.0,22647,806295
2026-01-29 14:15:00,14895.0,14920.0,14875.0,14900.0,19811,806782
2026-01-29 14:45:00,14890.0,14915.0,14870.0,14900.0,16577,805767
2026-01-29 15:00:00,14900.0,14915.0,14875.0,14910.0,245,805131
2026-01-29 21:30:00,14910.0,14955.0,14870.0,14880.0,72459,807152
2026-01-29 22:00:00,14885.0,14900.0,14835.0,14855.0,32279,805955
2026-01-29 22:30:00,14850.0,14925.0,14850.0,14920.0,28958,806175
2026-01-29 23:00:00,14915.0,14935.0,14885.0,14900.0,31946,803813
2026-01-30 09:30:00,14890.0,14900.0,14775.0,14825.0,80473,796347
2026-01-30 10:00:00,14825.0,14845.0,14635.0,14670.0,92326,776412
2026-01-30 10:45:00,14665.0,14705.0,14600.0,14700.0,18865,760009
2026-01-30 11:15:00,14695.0,14700.0,14650.0,14660.0,25359,759137
2026-01-30 13:45:00,14665.0,14720.0,14650.0,14715.0,23294,758293
2026-01-30 14:15:00,14720.0,14730.0,14670.0,14675.0,21468,757245
2026-01-30 14:45:00,14675.0,14695.0,14660.0,14675.0,13692,755359
2026-01-30 15:00:00,14675.0,14700.0,14660.0,14670.0,12403,753275
2026-01-30 21:30:00,14675.0,14745.0,14660.0,14745.0,477,755096
2026-01-30 22:00:00,14745.0,14755.0,14710.0,14745.0,210,757557
2026-01-30 22:30:00,14750.0,14765.0,14745.0,14765.0,9,758061
2026-01-30 23:00:00,14765.0,14780.0,14755.0,14770.0,523,757445
2026-02-02 09:30:00,14745.0,14745.0,14645.0,14645.0,1306,756037
2026-02-02 10:00:00,14645.0,14675.0,14640.0,14670.0,3138,755985
2026-02-02 10:45:00,14670.0,14680.0,14635.0,14645.0,1274,755863
2026-02-02 11:15:00,14640.0,14655.0,14610.0,14635.0,929,751312
2026-02-02 13:45:00,14635.0,14645.0,14540.0,14540.0,275,739526
2026-02-02 14:15:00,14530.0,14600.0,14500.0,14590.0,3856,724784
2026-02-02 14:45:00,14590.0,14600.0,14555.0,14570.0,5408,721151
2026-02-02 15:00:00,14565.0,14580.0,14555.0,14575.0,8315,719506
2026-02-02 21:30:00,14605.0,14645.0,14575.0,14615.0,59733,721547
2026-02-02 22:00:00,14615.0,14675.0,14610.0,14660.0,26693,721026
2026-02-02 22:30:00,14665.0,14670.0,14650.0,14660.0,11183,721046
2026-02-02 23:00:00,14655.0,14665.0,14635.0,14635.0,11305,720904
2026-02-03 09:30:00,14635.0,14745.0,14635.0,14745.0,53686,724900
2026-02-03 10:00:00,14745.0,14760.0,14725.0,14730.0,29225,726572
2026-02-03 10:45:00,14725.0,14735.0,14630.0,14655.0,36787,722129
2026-02-03 11:15:00,14690.0,14700.0,14635.0,14645.0,26245,720108
2026-02-03 13:45:00,14645.0,14675.0,14640.0,14650.0,16297,720211
2026-02-03 14:15:00,14650.0,14695.0,14645.0,14690.0,3664,720270
2026-02-03 14:45:00,14685.0,14730.0,14685.0,14710.0,454,720665
2026-02-03 15:00:00,14665.0,14665.0,14650.0,14650.0,296,717880
2026-02-03 21:30:00,14660.0,14695.0,14615.0,14665.0,51869,720163
2026-02-03 22:00:00,14660.0,14675.0,14645.0,14655.0,14538,720248
2026-02-03 22:30:00,14655.0,14670.0,14645.0,14655.0,7282,720073
2026-02-03 23:00:00,14655.0,14665.0,14640.0,14660.0,7140,718914
2026-02-04 09:30:00,14640.0,14680.0,14620.0,14635.0,271,719478
2026-02-04 10:00:00,14635.0,14650.0,14625.0,14635.0,390,719088
2026-02-04 10:45:00,14640.0,14650.0,14615.0,14625.0,13,716662
